LINKNO,subw_4,subw_5,subw_6,subw_7,Subw_8
10096,543,69,19,5,1
9648,550,69,19,5,1
9872,318,69,19,5,1
10544,318,69,19,5,1
11216,550,69,19,5,1
11440,550,69,19,5,1
11664,503,69,19,5,1
12784,550,69,19,5,1
12560,543,69,19,5,1
13008,543,69,19,5,1
13680,543,69,19,5,1
13456,503,69,19,5,1
13232,503,69,19,5,1
23761,503,69,19,5,1
23537,503,69,19,5,1
23313,503,69,19,5,1
23089,503,69,19,5,1
22865,503,69,19,5,1
22641,318,69,19,5,1
22417,503,69,19,5,1
21969,503,69,19,5,1
21745,550,69,19,5,1
21521,503,69,19,5,1
21073,318,69,19,5,1
20849,550,69,19,5,1
20625,503,69,19,5,1
20401,503,69,19,5,1
20177,550,69,19,5,1
19953,503,69,19,5,1
19729,543,69,19,5,1
19505,318,69,19,5,1
19281,317,69,19,5,1
18833,503,69,19,5,1
18609,503,69,19,5,1
18385,318,69,19,5,1
18161,503,69,19,5,1
17937,550,69,19,5,1
17713,318,69,19,5,1
17265,503,69,19,5,1
17041,318,69,19,5,1
16817,503,69,19,5,1
16369,550,69,19,5,1
16145,550,69,19,5,1
15697,503,69,19,5,1
15473,503,69,19,5,1
15249,318,69,19,5,1
15025,543,69,19,5,1
14801,543,69,19,5,1
14577,503,69,19,5,1
14353,543,69,19,5,1
14129,503,69,19,5,1
13905,318,69,19,5,1
13681,317,69,19,5,1
13457,503,69,19,5,1
13233,550,69,19,5,1
13009,503,69,19,5,1
12785,543,69,19,5,1
12561,318,69,19,5,1
12337,318,69,19,5,1
12113,318,69,19,5,1
11889,503,69,19,5,1
11665,318,69,19,5,1
11441,503,69,19,5,1
11217,550,69,19,5,1
10993,550,69,19,5,1
10769,317,69,19,5,1
10545,503,69,19,5,1
10321,503,69,19,5,1
10097,317,69,19,5,1
9649,550,69,19,5,1
9425,543,69,19,5,1
9201,318,69,19,5,1
8977,503,69,19,5,1
8753,543,69,19,5,1
8529,318,69,19,5,1
8305,318,69,19,5,1
8081,550,69,19,5,1
7857,550,69,19,5,1
7633,550,69,19,5,1
7409,318,69,19,5,1
7185,550,69,19,5,1
6961,550,69,19,5,1
6737,543,69,19,5,1
6513,318,69,19,5,1
6289,543,69,19,5,1
6065,503,69,19,5,1
5841,318,69,19,5,1
5617,503,69,19,5,1
5393,503,69,19,5,1
5169,318,69,19,5,1
4945,543,69,19,5,1
4721,503,69,19,5,1
4497,318,69,19,5,1
4273,543,69,19,5,1
4049,543,69,19,5,1
3825,550,69,19,5,1
3601,503,69,19,5,1
3377,318,69,19,5,1
3153,318,69,19,5,1
2929,318,69,19,5,1
2705,550,69,19,5,1
2481,550,69,19,5,1
2257,543,69,19,5,1
1809,503,69,19,5,1
1585,550,69,19,5,1
1361,503,69,19,5,1
1137,503,69,19,5,1
913,503,69,19,5,1
689,318,69,19,5,1
465,543,69,19,5,1
241,550,69,19,5,1
17,543,69,19,5,1
31602,318,69,19,5,1
31378,318,69,19,5,1
31154,318,69,19,5,1
30930,318,69,19,5,1
37873,318,69,19,5,1
30482,317,69,19,5,1
30258,317,69,19,5,1
30034,317,69,19,5,1
29810,317,69,19,5,1
29586,317,69,19,5,1
29362,317,69,19,5,1
29138,317,69,19,5,1
28914,317,69,19,5,1
28690,317,69,19,5,1
28466,317,69,19,5,1
28242,317,69,19,5,1
28018,317,69,19,5,1
27794,317,69,19,5,1
27570,317,69,19,5,1
27346,550,69,19,5,1
27122,550,69,19,5,1
26898,550,69,19,5,1
26674,550,69,19,5,1
26450,318,69,19,5,1
26226,448,69,19,5,1
31603,448,69,19,5,1
36753,550,69,19,5,1
36529,318,69,19,5,1
25778,550,69,19,5,1
13458,448,69,19,5,1
1362,550,69,19,5,1
24882,503,69,19,5,1
24658,543,69,19,5,1
24434,543,69,19,5,1
24210,543,69,19,5,1
23986,503,69,19,5,1
23762,503,69,19,5,1
23538,503,69,19,5,1
23314,543,69,19,5,1
35633,543,69,19,5,1
35185,503,69,19,5,1
22866,503,69,19,5,1
22642,503,69,19,5,1
14802,503,69,19,5,1
30257,550,69,19,5,1
22418,503,69,19,5,1
22194,317,69,19,5,1
21970,317,69,19,5,1
21746,503,69,19,5,1
21522,317,69,19,5,1
21298,317,69,19,5,1
21074,317,69,19,5,1
20850,317,69,19,5,1
2483,317,69,19,5,1
915,503,69,19,5,1
691,317,69,19,5,1
243,317,69,19,5,1
19731,317,69,19,5,1
18835,317,69,19,5,1
23985,503,69,19,5,1
22193,550,69,19,5,1
21297,317,69,19,5,1
16593,543,69,19,5,1
15921,317,69,19,5,1
17489,318,69,19,5,1
20626,503,69,19,5,1
20402,503,69,19,5,1
20178,503,69,19,5,1
19730,503,69,19,5,1
19506,550,69,19,5,1
19282,503,69,19,5,1
19058,503,69,19,5,1
18834,317,69,19,5,1
18610,318,69,19,5,1
18386,503,69,19,5,1
18162,317,69,19,5,1
17714,317,69,19,5,1
17490,543,69,19,5,1
17266,543,69,19,5,1
17042,317,69,19,5,1
16818,503,69,19,5,1
16594,503,69,19,5,1
15922,317,69,19,5,1
15698,503,69,19,5,1
15474,317,69,19,5,1
14354,448,69,19,5,1
13906,317,69,19,5,1
13682,503,69,19,5,1
13010,503,69,19,5,1
12786,503,69,19,5,1
12338,503,69,19,5,1
11890,448,69,19,5,1
11666,317,69,19,5,1
11442,317,69,19,5,1
10994,317,69,19,5,1
10546,318,69,19,5,1
10098,448,69,19,5,1
9874,503,69,19,5,1
9426,550,69,19,5,1
9202,318,69,19,5,1
8978,543,69,19,5,1
8754,317,69,19,5,1
8530,317,69,19,5,1
8306,448,69,19,5,1
8082,543,69,19,5,1
7858,503,69,19,5,1
7634,550,69,19,5,1
7410,318,69,19,5,1
7186,503,69,19,5,1
6962,503,69,19,5,1
6738,543,69,19,5,1
6514,318,69,19,5,1
6290,317,69,19,5,1
6066,317,69,19,5,1
5842,543,69,19,5,1
5618,318,69,19,5,1
5394,550,69,19,5,1
5170,503,69,19,5,1
4946,543,69,19,5,1
4722,550,69,19,5,1
4498,503,69,19,5,1
4274,317,69,19,5,1
4050,318,69,19,5,1
3826,317,69,19,5,1
3602,318,69,19,5,1
3378,317,69,19,5,1
